127.0.0.1 - - [17/Jun/2025:14:17:02 +0000] "GET / HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:24:20 +0000] "GET /AppTest/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:24:24 +0000] "GET /AppTest/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:24:25 +0000] "GET /AppTest/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:24:25 +0000] "GET /AppTest/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:24:25 +0000] "GET /AppTest/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:24:26 +0000] "GET /AppTest/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:24:26 +0000] "GET /AppTest/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:24:27 +0000] "GET /AppTest/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:24:27 +0000] "GET /AppTest/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:24:27 +0000] "GET /AppTest/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:24:28 +0000] "GET /AppTest/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:24:28 +0000] "GET /AppTest/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:24:29 +0000] "GET /AppTest/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:24:29 +0000] "GET /AppTest/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:24:30 +0000] "GET /AppTest/ HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:27:19 +0000] "GET /AppTest/ HTTP/1.1" 200 375
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:30:54 +0000] "GET /AppTest/ HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [17/Jun/2025:14:31:20 +0000] "GET /AppTest/ HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [17/Jun/2025:16:19:00 +0000] "GET /AppTest/?nom=dd&email=cgbn%2C%3B%3A%3B%2Cnbv HTTP/1.1" 200 432
